message,created_time,type,shares/count,id,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment
"【肯德基 Lavazza 伴你度過溫暖的冬季】 
一杯咖啡為你榛心獻上美好的幸福時光。香醇濃郁的榛果可可，搭配義式Lavazza好咖啡，優雅的完美比例，伴你度過一個溫暖幸福的冬天 
網路訂購 立即溫暖>> https://goo.gl/4Cm1vN",2016-12-27T06:29:53+0000,link,62,324273577645211_1409272255811999,7417,false,false,ranked,33,false
"【派對不能沒有KFC，跨年17嗨翻天】
跨年開趴想梗想破頭？「肯德基醬玩派對桶」讓你體驗多種美味沾醬樂趣🎉×KKBOX經選派對歌單🎶🎶🎶～讓派對一開，朋友都驚呆了!!!!!
想好跨年該如何慶祝了嗎?😏標記1名好友，並留言「@XXX跨年有梗嗎？～一起去__________開趴吧！」
👉開趴餐立即購>>https://goo.gl/jRGsxp 
👉派對歌單Check It Out～>>https://goo.gl/jNH9g1",2016-12-22T16:00:05+0000,link,104,324273577645211_1400268870045671,12990,false,false,ranked,216,false
"【聖誕節就是要肯德基】
🎅雞Go Bell! 🎅雞Go Bell!  聖誕佈置怎樣才有fu🎄🎄
#KFC聖誕炸雞桶   怎麼擺都Amazing噠
掃描桶身QR Code還可立馬連 #KKBOX 播派對音樂high不停🙌🙌
快get幾桶來玩出創意Xmas佈置! 
🔥吃雞不丟炸雞桶→ https://goo.gl/RR5fgK
#醬玩派對桶",2016-12-22T13:30:02+0000,photo,9,324273577645211_1400358573370034,221,false,false,ranked,5,false
,2016-12-22T02:00:00+0000,photo,,324273577645211_1399183416820883,24587,false,false,ranked,154,false
,2016-12-21T11:00:00+0000,video,,324273577645211_1398761096863115,685,false,false,ranked,55,false
"【榛心好友～非你莫屬】FB網路活動中獎名單公布嘍！

恭喜30位得獎者獲得KFC榛心獻禮 (1盒義式榛果可可雙色蛋撻禮盒 & 2杯LAVAZZA榛果可可拿鐵) 乙份。
煩請得獎人確實填寫下列資料，並於2016年12月22日 (含)前，回傳小編之訊息（以網路回傳時間為憑），
以便核對得獎資格，逾期或資料缺漏者，將視同放棄領獎資格。
活動小組審核兌獎相關資料無誤後，請於領取時間至指定店家領取，不另通知。
逾時領獎者也將視同放棄領獎資格。

回傳項目如下：
1.真實姓名：
2.Email：
3.聯絡電話：
4.取件門市：
5.取件日期：（需為12/27~12/29領取）
6.取件時間：（需為下午15:00～20:00中領取）

取件門市/營業時間查詢：http://www.kfcclub.com.tw/Restaurant/List.html

注意事項： 
活動贈品僅限台灣本島地區，不處理獎品至海外地區之事宜。
若無法聯繫到得獎者，視同得獎人自動放棄獎項。
贈品一經領取後，如有遺失、損毀等事情發生，活動單位不負補發之責。兌獎方法以活動網站的活動辦法為準。",2016-12-20T09:54:01+0000,photo,,324273577645211_1396901150382443,180,false,false,ranked,22,false
"🎁【預購外送 送蛋撻禮盒!!!】 🎁
🎄金勾杯~金勾杯~金勾偶惹威⛄
每次聖誕節🎄，爺爺就會偷偷模仿成聖誕老公公🎅
🎅外送好吃的炸雞🐔給可愛的孩子們讓大家開心辦趴! 🎉🎈且願意預購的孩子😍，爺爺會再多送給它蛋撻禮盒兌換券!! 💝

預訂外送 拿好禮>> https://goo.gl/xsyJ0h",2016-12-16T10:00:07+0000,photo,10,324273577645211_1389290317810193,207,false,false,ranked,7,false
"【肯德基 Lavazza 伴你度過溫暖的聖誕節】 
溫馨的聖誕節，一杯咖啡為你榛心獻上美好的幸福時光。香醇濃郁的榛果可可，搭配義式Lavazza好咖啡，優雅的完美比例,伴你度過一個溫暖幸福的冬天 
網路訂購 立即溫暖>> https://goo.gl/UMips5",2016-12-15T16:00:35+0000,link,48,324273577645211_1388071751265383,10556,false,false,ranked,27,false
"【爺爺醬好趴  中獎名單】
嘿！就是你！快來看有沒有你名字！
恭喜以下消費者獲得12/17-12/18爺爺醬好趴見面會入場資格喔！
小編會私訊中獎者，請得獎人留意並於12/14(三)23:59前回覆領獎所需個人資料訊息(中文姓名/聯絡電話/E-MAIL)，逾期不候~感謝您！

12/18台北場：KFC台北台大門市
Rxy Wxng
Hxxi Chxx Chen
Irxxe Kxo
吳x萱
x志

12/17新竹場：KFC新竹大同
Kaxxn Huxng
Chxh Chxng
Alxxe Yxng
黃x玹
Ya-Txxg Yxng

12/17高雄場：KFC高雄站前
鍾x穗
郭x庭
Huxxg Alxx
林x凡
Mixxn Hxxng",2016-12-13T11:25:13+0000,photo,9,324273577645211_1385068684899023,149,false,false,ranked,6,false
"【肯德基冬日限定蛋撻】
時尚的完成度在於臉、美食的完成度在甜點
KFC【義式榛果可可蛋撻】搭配
Lavazza【義式榛果可可拿鐵】
所謂的異國范兒，不過就是吃得有義式，穿得有意思！",2016-12-12T03:12:26+0000,photo,33,324273577645211_1383209995084892,341,false,false,ranked,16,false
"【冬天醬玩high起來】 
天氣冷了！該儲存熱量避冬啦！💕 
肯德基《醬玩派對桶》一桶裝滿5大明星商品
♡咔啦脆雞♡無骨金黃脆腿條 ♡洋蔥圈 ♡香酥脆薯♡紐奧良烤雞
內用外帶隨餐附送
✔日式橙汁糖醋醬✔美式煙燻醬✔南洋酸辣醬✔1.25L百事瓶可
✔爺爺醬玩轉盤(可愛指數破表  )  ✔聖誕專屬桶掃 #KKBOX歌單
➡熱量補給站  https://goo.gl/98391v",2016-12-10T02:32:05+0000,photo,17,324273577645211_1379262115479680,289,false,false,ranked,2,false
"【派對餐點經典必備!!】 
回頭率超高！吃過都愛上的烤全雞又開賣啦！    
期間限定的『紐奧良烤全雞』皮香肉嫩 封鎖住鮮嫩肉汁 👑
肯德基「派對狂饗烤全雞餐」 你我可以！    (大口咬)
想吃立即購 https://goo.gl/6j4BGw",2016-12-09T10:18:59+0000,photo,38,324273577645211_1379259425479949,612,false,false,ranked,36,false
"派對大餐、Dress Code、交換禮物…年底派對潮都忙到分身乏術嗎?
今年餐點交給KFC預訂快取，替你省下大量備餐時間！
讓你精心準備裝扮和禮物，為你的派對加溫⛄🎅

🎁滿額再享好禮三選一👉https://goo.gl/8ofc9P",2016-12-08T16:00:10+0000,link,18,324273577645211_1377571808982044,2479,false,false,ranked,27,false
"【肯德基給你滿滿的～美味大平台】
　　
用「醬玩獨享餐」犒賞自己～釋放業績/成績壓力
✴咔啦脆雞✴金黃脆腿條✴脆薯✴雞米花✴原味蛋撻✴中可✴風味沾醬(日式橙汁糖醋醬&美式煙燻醬)！給你史上最強～滿滿的XL級美味大平台😏>> http://goo.gl/mxBjvl 
讓吃飯更有fu？🎧掃描產品QRcode聽派對嗨歌>>http://goo.gl/ya3ojB",2016-12-08T10:00:00+0000,link,53,324273577645211_1377691325636759,935,false,false,ranked,41,false
"【年終咔啦神好康！單點咔啦雞腿堡免費送小可】 
不管你是水星逆行還是木星順行，都不能錯過KFC年終神好康！ 
大口咬下咔啦雞腿堡，今年是好是壞都一口勾銷，爽快迎接2017！ 
更多誘人好康> https://goo.gl/H1sjrJ",2016-12-08T08:00:01+0000,link,122,324273577645211_1377614848977740,3797,false,false,ranked,73,false
"【冬季專屬的香甜濃郁滋味,Lavazza 幸福溫暖每一天】 

冷呼呼的早晨，就該來杯熱熱的榛果可可拿鐵 
香醇濃郁的榛果可可搭配義式Lavazza好咖啡，優雅的完美比例，開啟你溫暖幸福美好的一天。

網路訂購 立即溫暖>> https://goo.gl/5CexX9",2016-12-07T04:15:32+0000,photo,10,324273577645211_1375781949161030,200,false,false,ranked,4,false
"【截圖分享-獨享食光，美味價只要89】
想吃點鹹食解解饞，墊墊微空的肚子嗎？
那就來2塊咔啦脆雞+小杯可樂，獨享食光只要$89 😜
立即“截圖分享”給你最麻吉的好友吧！活動時間自2016/12/06-2017/1/23止
★出示截圖即享優惠★  更多優惠券： https://goo.gl/HRAKBE",2016-12-06T16:00:01+0000,photo,558,324273577645211_1374483829290842,9805,false,false,ranked,213,false
"【12/6~12/12按讚+留言 抽爺爺醬好趴入場資格🎉】
★★想跟KFC爺爺一起開趴享用免費「醬玩派對桶」嗎？
活動下方 @tag三位好友，各場將抽出5個幸運名額★★
👉三步驟就具備抽獎資格
①本篇PO文按讚
② 公開分享此篇文章  #未公開分享即失去抽獎資格
③ 在此篇留言👉『@xxx 跟我一起「KFC醬玩好趴！我要跟爺爺在 #台北 or #新竹 or #高雄 見面』
✔ 留言標註3位朋友，記得選擇一個參加場次
✔活動截止至12/12(一) 晚間8點截止
✔場次
12/18 KFC台北台大 下午3點
12/17 KFC新竹大同下午3點
12/17 KFC高雄站前下午3點 

★ 開獎日期為12/13(二)★
♦ 活動結束主辦單位公佈得奬名單後，請得獎人留意並於12/14(三)23:59前私訊回覆領獎所需個人資料訊息，逾期不候
#KFC
#醬玩派對桶",2016-12-06T10:00:00+0000,photo,521,324273577645211_1374472062625352,907,false,false,ranked,616,false
"【榛心好友～非你莫屬】

今年聖誕，你會想起哪位好朋友呢？
是在不開心時有辦法溫暖你的開心果？
或是每天都香濃分不開的貼身戰友？
還是好吃的一定分你的吃貨雙胞胎呢？
現在只要留言並TAG你的榛心好友，就有機會一起享用義式榛果可可蛋撻喔！
快來溫暖一下>> https://goo.gl/yYWPGY
※活動辦法
步驟一：於本PO文下方留言TAG一位榛心好友，並寫出原因「聖誕節要到了，＠王小明，好想跟你一起吃KFC義式榛果可可蛋撻」
步驟二：送出成功後，就有機會獲得KFC的『 榛心獻禮』 (1盒義式榛果可可雙色蛋撻禮盒 & 2杯LAVAZZA榛果可可拿鐵)
※活動時間：12/6 (二) 12:00 ~ 12/18 (日) 23:59止
※免費份數：總計30份 （一份內含蛋撻一盒+兩杯榛果可可拿鐵）
※抽獎辦法：於12/19 (一)抽出30組名額，可獲得「榛心獻禮」，並於KFC粉絲專頁公告中獎名單，請中獎者於12/27~12/29下午15:00-20:00於指定餐廳領取獎品。",2016-12-06T06:00:01+0000,photo,2014,324273577645211_1373060742766484,14748,false,false,ranked,9038,false
"【醬玩派對桶，挑戰各種嗨】
驚！肯德基爺爺的筋，居然如此醬軟Q？
獨門3招『K』式醬玩法，讓一秒變身派對焦點～
「醬玩派對桶」要你邊吃邊玩，下一個練武奇杷就是你👊👊👊
✨瞭解更多>> https://goo.gl/C4aTVV
✨快來Tag一名或多名好友，並截圖欲挑戰的醬玩招式",2016-12-06T04:00:01+0000,link,93,324273577645211_1372911996114692,5886,false,false,ranked,80,false
"【肯德基醬玩派對桶～派對桶醬玩】
開趴沒梗？就只能給你87分不能再高了！
「多重吃法×音樂遊戲」給你來點開趴新點子
一掃QRCODE開啟派對歌單，邊聽邊玩醬才好玩
>>瞭解更多 https://goo.gl/XTPsYm",2016-12-06T02:30:00+0000,video,196,324273577645211_1373966242675934,4096,false,false,ranked,143,false
,2016-12-06T02:02:48+0000,photo,2,324273577645211_1373976249341600,163,false,false,ranked,1,false
"【冬季專屬的香甜濃郁滋味 Lavazza 幸福溫暖每一天】
冷呼呼的早晨，就該來杯熱熱的榛果可可拿鐵
香醇濃郁的榛果可可，搭配義式Lavazza好咖啡，優雅的完美比例，開啟你溫暖幸福美好的一天
網路訂購 立即溫暖>> https://goo.gl/R5z72v",2016-12-06T02:00:00+0000,link,31,324273577645211_1373089679430257,3987,false,false,ranked,25,false
"【美味蛋撻新登場】 
好邪惡～半夜看得到卻吃不到的美味，連小編都崩潰！
暖呼呼的義式榛果可可蛋撻，週二10：30在各門市開始販售！",2016-12-05T16:00:37+0000,video,157,324273577645211_1373075389431686,2274,false,false,ranked,580,false
"【KFC超狂炸雞桶大平台來了！】
✔5種炸烤物✔ ♫KKBOX專屬歌單♫ ✔醬玩轉盤全在「醬玩派對桶」這桶裡！
12/6 全國上市！話說這桶是限期供應的，你懂的~快揪朋友明天手刀買！ ❤
#KFC
#醬玩派對桶",2016-12-05T06:39:26+0000,photo,38,324273577645211_1372755332797025,603,false,false,ranked,25,false
"【美味蛋撻搶先報】 
太犯規了！只有台灣能吃到的限定口味！
12/6 (二)肯德基【義式榛果可可蛋撻】 新上市
葡式蛋撻 X 榛果可可醬 X 格子鬆餅～香濃好滋味
出示此嘗鮮券截圖即可享優惠！(手刀截圖)
小編週二就為這顆蛋撻而活了，粉絲請一起喊：想吃！",2016-12-04T05:00:00+0000,photo,632,324273577645211_1368713176534574,11754,false,false,ranked,826,false
"【秋日暖胃三寶！田園南瓜嫩雞粥】
歐嗨喲☀早上醒來手腳冰冷沒有元氣？
快點來一碗KFC田園南瓜嫩雞粥吧！它含營養栗南瓜、香Ｑ台梗米、薄脆雞腿肉，用暖暖的溫度，啟動你元氣每一天🔥

更多早餐優惠→https://goo.gl/cm1GFp",2016-11-21T16:00:01+0000,link,88,324273577645211_1331917953547430,7867,false,false,ranked,73,false
"【KFC X momo購物網 好康大輪盤】
粉絲們快去玩大輪盤拿好康喔~",2016-11-21T07:20:39+0000,photo,,324273577645211_1354212384651320,275,false,false,ranked,9,false
"【KFC X momo購物網 好康大輪盤】
肯德基和momo購物網首度合作，輕鬆抽獎領好康~
只要是momo會員，都有機會抽五塊雞桶/咔啦雞腿堡套餐兌換券!
還有其他超值獎項，數量有限機會難得，粉絲們千萬別錯過!

大輪盤活動詳情>>>https://goo.gl/cb7HWB",2016-11-15T07:09:02+0000,photo,26,324273577645211_1346181682121057,353,false,false,ranked,20,false
"【韓國甜辛紙包雞新上市💖】

獨家封烤技術，鎖住肉汁超Juicy！
🔥韓式辣醬🔥口味，甜中帶辛、辛中帶甜，
配上超好吃的雞汁風味飯，
一起來場美妙的✨味蕾饗宴✨吧！

>>>瞭解詳情👉https://goo.gl/EPyMC2",2016-11-15T02:04:31+0000,link,150,324273577645211_1344099302329295,15740,false,false,ranked,178,false
"【肯德基微笑之星選拔賽★中獎名單公布】
再次感謝大家的熱情參與微笑之星投票～
恭喜以下30名得獎者獲得KFC貴賓禮遇券(價值200元)！！
黃*婷         
王*滿         
玲*   
金*   
曾*筑
游*祐         
許*仔         
鈕*明         
陳*眀         
陳*英
尤*琇         
M*Mu T*ng       
李*華         
邱*暄         
陳*軒
蘇*錦         
樂*派         
陳*玲         
S**lla C**ng      
朱*達
黃*宜         
M**ael L. C*e*ser     
曾*之         
吳*珠         
陳*祺
Chen B*o M*ng          
呂*正         
張*   
王*程
L**ra L**into

※活動小組將以Email通知得獎者，請得獎者至Facebook帳號登記之Email信箱收信，並將兌獎相關資料於2016/11/21(一)前以Email寄回指定信箱。
※獎項將於2016年11月28日前統一寄發。",2016-11-10T04:18:22+0000,photo,5,324273577645211_1338812362857989,115,false,false,ranked,5,false
"【點亮你的火眼金睛，田園南瓜嫩雞粥】
早上起床眼睛總是特別酸？讓KFC的田園南瓜嫩雞粥來拯救你！
它的紐西蘭栗南瓜含有護眼的維生素A，讓你不論滑手機、盯報表、逛網拍（咦？），都能施展你的火睛金睛，健康元氣每一天👀
更多美味>https://goo.gl/BPo7Nw",2016-11-07T16:00:01+0000,link,224,324273577645211_1331913953547830,13188,false,false,ranked,147,false
"【KFC微笑之星選拔賽人氣王出爐】 
 👉 喔爺！一個月超狂累積23.6萬票數！
恭喜本屆KFC微笑之星🎉  
✔基隆忠二餐廳→ 楊閔媗
✔林口復興餐廳→ 曹宇皓
✔斗六民生餐廳→ 張榛旂
✔台南中華餐廳→ 蘇美麗

感謝所有參與選拔賽及投票的你妳！！
熱情、專業、肯定有你！👍  👍",2016-11-02T11:14:48+0000,photo,6,324273577645211_1329729640432928,206,false,false,ranked,14,false
"【週年慶完勝攻略】
週年慶人山人海，怎樣才能搶到限時特惠商品，而且擺脫爆滿的美食街填飽肚子呢？
專業達人親授秘訣，快點筆記下來吧📝
❶預訂計畫
❷準時取餐
❸輕鬆完勝
📣預訂快取免排隊，滿額再享好禮三選一👉https://goo.gl/R5z72v",2016-10-31T16:00:00+0000,link,31,324273577645211_1324021961003696,1495,false,false,ranked,33,false
"【截圖分享-甜辛獨享優惠價$145】
天氣漸漸由涼轉冷嘍！這時候最適合甜中帶辛的美味為身體暖身，預備迎接冬季的到來。 
韓國甜辛紙包雞+雞汁風味飯+原味蛋撻+紅茶(中) ，甜辛獨享主餐+點心，限時特惠只要$145 ❤ 
活動時間自2016/11/1-12/5止
★出示截圖即享優惠★更多優惠券： https://goo.gl/1J6oGL",2016-10-31T16:00:00+0000,photo,454,324273577645211_1323681284371097,13312,false,false,ranked,434,false
"【韓國甜辛紙包雞  期間限定】
全糖女孩已退燒，甜辛女孩正流行!!
甜中帶辛、辛中帶甜，令人意猶未盡
就像❤韓國甜辛紙包雞❤
🌟獨家封烤技術🌟與🔥道地韓式辣醬🔥
搭配好吃雞汁風味飯，絕對不能錯過的好味道👍👍👍

>>> https://goo.gl/g3FhsB",2016-10-28T07:19:05+0000,video,180,324273577645211_1323882121017680,4201,false,false,ranked,387,false
,2016-10-26T10:57:54+0000,photo,5,324273577645211_1321730604566165,252,false,false,ranked,2,false
"❤ 【韓國甜辛紙包雞  新上市!】 ❤
紙包雞✨獨門封烤技術✨加上🔥韓式辣醬🔥根本犯規！
鮮嫩多汁的雞肉咬下去，瞬間就到了東大門！？
還有雞汁風味飯，阿廝～
沒吃到，真的只能藍瘦香菇了！
 
【韓國甜辛紙包雞❤期間限定】
→ https://goo.gl/QH2P4N",2016-10-24T16:01:25+0000,link,150,324273577645211_1319551581450734,13669,false,false,ranked,267,false
娃娃介紹美食好有魔力喔~小編看她的開箱就好想立馬吃一個惡魔堡(餓),2016-10-24T03:29:28+0000,video,11,324273577645211_1319284941477398,130,false,false,ranked,5,false
【肯德基油品品質管理公告】,2016-10-21T07:15:42+0000,photo,27,324273577645211_1315917371814155,490,false,false,ranked,25,false
"【惡魔醬淋咔啦雙人分享餐得獎名單公布囉！】
感謝粉絲們的熱情參與，大家趕緊爽揪好友雙人分享，一口收服惡魔醬淋囉～

恭喜以下5位得獎者：
林＊程／劉＊銘／葉＊羽／董＊如／尤＊馨

＊肯德基會於10/19 下午15:00開始聯繫得獎者。請得獎者於10/21 15:00前（逾時回覆者取消資格），於肯德基粉絲團聯繫您的私訊中，回覆您的真實姓名、兌獎聯絡相關資料、取餐門市與取餐時間（逾時未取者取消資格）。",2016-10-19T03:07:28+0000,photo,4,324273577645211_1313598362046056,141,false,false,ranked,4,false
"【萬聖驚喜 惡魔給好康！來店打卡 升級變大！】
萬聖節就是要吃惡魔醬淋咔啦雞腿堡呀！
萬聖開趴必須狂，衝一波肯德基來發猛的！
立馬來店打卡，活動期間不限次數套餐爽升級大薯大可！
優惠詳情> https://goo.gl/58YtgE",2016-10-18T02:55:20+0000,link,81,324273577645211_1312273168845242,2307,false,false,ranked,39,false
"是什麼魔性滋味…，讓兩大魔王瘋狂追逐！？
哪裡來的美味誘惑，喚醒沉睡的吸血鬼男爵，讓少年無法抗拒變身狼人？！
萬聖驚喜 惡魔給好康！
一嚐惡魔醬淋，活動期間(2016/10/20-10/31)
KFC來店打卡升級大薯大可！
了解優惠詳情> https://goo.gl/njMdmg",2016-10-18T02:00:01+0000,video,179,324273577645211_1311526875586538,2663,false,false,ranked,84,false
"【揪麻吉一起雙人同享！一口收服KFC限定怪獸！】
 北投追快龍，南寮追乘龍，再來還要追什麼？
「惡魔醬淋」KFC限定出沒，有吃又有抓，揪麻吉爽抽套餐一起GO！
 
《簡單分享3步驟，立馬TAG好友衝一波～》
Step1-截下下方GIF動圖中「惡魔醬淋咔啦雞腿堡」的畫面
Step2-到留言處分享你的截圖
Step3-@你的好友並留言「一起Gotcha惡魔醬淋」
就有機會抽中「免費惡魔醬淋雙人分享餐」！

查詢最近門市>> https://goo.gl/s7qUlD
網路立即訂購>> https://goo.gl/z9OcED
※活動時間：即日起 ~10 /16 (日) 23:59止",2016-10-13T12:00:02+0000,link,150,324273577645211_1306254196113806,452,false,false,ranked,335,false
"【截圖分享-秋日好食光限時特惠$109】
秋高氣爽，微風徐徐，悠閒的一邊啃書本，一邊喀肯德基
獨享一個人的秋日好食光，咔啦雞腿堡+咔啦脆雞+可樂(小) 只要109元
活動時間自2016/9/13-10/31止
★出示截圖即享優惠★更多優惠券： https://goo.gl/Re5AxC",2016-10-06T01:49:33+0000,photo,483,324273577645211_1297940100278549,13078,false,false,ranked,171,false
"【2016肯德基『微笑之星選拔賽』 開跑啦！】
台灣最美的風景是人，您的鼓勵讓我們更加努力！ 💪 💪
投出神聖一票還能直接獲得KFC專屬產品優惠券♪♪→咔啦雞腿堡+原味蛋撻+小可 $89 ♪♪
手刀投票去 🙌 🙌 http://smile.kfctw.com.tw/",2016-10-05T10:53:08+0000,photo,29,324273577645211_1297861246953101,222,false,false,ranked,9,false
"【萬聖節限定-惡魔醬淋咔啦雞腿堡＋中杯可樂限時$99！】
特調羅馬惡魔醬，淋上神好吃咔啦雞腿堡，引爆爽度Power Up的魔性新滋味！
※活動時間：即日起至 10/ 31(一) 23:59止
★出示截圖即享優惠★",2016-10-05T02:57:52+0000,photo,45,324273577645211_1297560240316535,417,false,false,ranked,40,false
"實習生的逆襲！時尚總編不得不Follow的魔性瘋潮是？！
站在潮流尖端的時尚編輯們，竟然對一個小小實習生甘拜下風！讓全辦公室都著魔的全新美味是…？

★KFC惡魔醬淋咔啦雞腿堡美味降臨★
網路立即訂購>https://goo.gl/3ZvRJY",2016-10-04T16:00:00+0000,video,126,324273577645211_1296609547078271,3270,false,false,ranked,125,false
"⚾⚾十月棒球瘋，熱血看球賽
全壘打、逆轉勝...各種精彩賽況，誰想錯過!!!無論買票進場或在家觀賽，有KFC預訂快取📱，讓你同享刺激球賽與美味餐點！飽餐一頓更能大呼口號、為支持的球隊加油。

📣滿額再享，好禮三選一👉https://goo.gl/jk5sDh",2016-10-04T11:55:52+0000,link,68,324273577645211_1296408027098423,7960,false,false,ranked,44,false
,2016-10-04T02:14:20+0000,photo,12,324273577645211_1296411027098123,375,false,false,ranked,8,false
"【肯德基早餐天天省-雙十限定！】
秋天是食慾之秋，早餐一定要吃飽吃滿！
肯德基早餐天天省，給你溫暖的秋日早晨
吮指嫩雞燒餅，搭配溫熱的義大利LAVAZZA咖啡，讓你的荷包更省一籌
更多早餐優惠→ https://goo.gl/2Gmtu0",2016-10-04T00:00:00+0000,link,13,324273577645211_1295677950504764,2441,false,false,ranked,9,false
"【肯德基早餐天天省-雙十限定！】
雙十連假計劃好了沒？！儲備好玩樂的體力，就從早餐開始！
快揪你的好友同享雙食美味，德式經典總匯早餐，再搭上義大利LAVAZZA咖啡，給你滿滿的活力！不論出遊還是抓寶一切沒問題！
更多早餐優惠→ http://goo.gl/Y3bqf6",2016-10-03T16:00:03+0000,link,29,324273577645211_1295678273838065,3127,false,false,ranked,15,false
"【萬聖節限定-惡魔醬淋咔啦雞腿堡＋中可樂限時$99！】
特調羅馬惡魔醬，淋上神好吃咔啦雞腿堡，引爆爽度Power Up的魔性新滋味！
※活動時間：即日起至 10/ 31(一) 23:59止
★出示此貼文畫面即享優惠
更多美味>https://goo.gl/Wht3d3",2016-10-03T16:00:00+0000,link,395,324273577645211_1295674067171819,7293,false,false,ranked,135,false
"♥喔爺! 生日就是要KFC，3D 投影生日卡免費索取中! ♥
漢堡蛋糕，炸雞拉花，蛋撻音符，每個都超療癒的!!
快讓超激萌的3D投影肯德基爺爺為你唱生日快樂歌♪
怎麼索取快看這裡↓ ↓ ↓
如何免費索取KFC 3D投影生日卡？
步驟1：到肯德基購買任何餐點，不限消費金額
步驟2：向店員大聲說出通關密語「喔爺~生日就要KFC」！
步驟3：免費獲得「 KFC 3D投影生日卡」(數量有限、送完為止)
3D投影生日快樂歌 搶先看: 
https://www.youtube.com/watch?v=RvdzuIzBUfY",2016-09-28T07:00:00+0000,link,4446,324273577645211_1289190181153541,11964,false,false,ranked,160,false
